"","CNTRY_NAME","mean_lights_weighted","mean_cvg_weighted"
"214","United Arab Emirates",5.81049966812134,0
"215","Trinidad and Tobago",10.6160697937012,0
"216","Thailand",1.17801129817963,0
"217","Tajikistan",0.852156281471252,0
"218","Turks and Caicos Islands",0,0
"219","Tokelau",0,0
"220","Tonga",2.35295915603638,0
"221","Togo",0.233441457152367,0
"222","Sao Tome and Principe",0.512238383293152,0
"223","Tunisia",1.41836750507355,0
"224","Turkey",1.25668442249298,0
"225","Tuvalu",0,0
"226","Taiwan",12.0242156982422,0
"227","Turkmenistan",0.411375164985657,0
"228","Tanzania, United Republic of",0.0345557034015656,6.0759350162698e-05
"229","Uganda",0.0487347543239594,0
"230","United Kingdom",13.325963973999,0
"231","Ukraine",4.62545776367188,0
"232","United States",4.25168561935425,1.30025000544265e-07
"233","Burkina Faso",0.0373439006507397,0
"234","Uruguay",0.41536483168602,0
"235","Uzbekistan",1.77491164207458,0.000119775286293589
"236","St. Vincent and the Grenadines",4.77696514129639,0
"237","Venezuela",1.11951792240143,9.38480070544756e-07
"238","British Virgin Islands",10.0298433303833,0
"239","Vietnam",0.427737981081009,0
"240","Virgin Islands",34.146728515625,0
"241","Namibia",0.0368050076067448,0
"242","West Bank",13.6448078155518,0
"243","Wallis and Futuna",0.483022153377533,0
"244","Western Sahara",0.0202504638582468,0
"245","Wake Island",7.60349798202515,0
"246","Western Samoa",0.207152470946312,0
"247","Swaziland",0.854446113109589,0
"248","Yemen",0.30454483628273,0
"249","Zambia",0.0862567275762558,0
"250","Zimbabwe",0.237601488828659,0
